,Title,Intensity figure,Metric numerator (Gross global combined Scope 1 and 2 emissions),Metric denominator,Metric denominator: Unit total,Scope 2 figure used,% change from previous year,Direction of change,Reason for change
15,General Motors Company - Climate Change 2019,0.000039,5687893,unit total revenue,147049000000,Market-based,7,Decreased,"Revenue increased by 1% and absolute GHG reduced 6% due to RE-100 implementation and energy efficiency projects, like LED lights, building management systems, and process optimization. Revenue intensity is not a good measure for automobile manufacturing as revenue is more dependent on vehicle content as opposed to energy used in operations. Energy cost is &lt;1% of revenue and is insignificant. Energy use in operations does not correlate to vehicle content or revenue."
16,Ferrari - Climate Change 2020,0.0000251,94.61,unit total revenue,3767000000,Market-based,6.4,Decreased,"In the last years, Ferrari managed to decouple its economic growth from its environmental impact, in other words we keep on growing our business activities while at the same time maintaining almost stable our CO2 emissions."
17,Ferrari - Climate Change 2020,74.56,94615,"Other, please specify (Ebitda, Mln \xe2\x82\xac)",1269,Market-based,9.5,Decreased,"In the last years, Ferrari managed to decouple its economic growth from its environmental impact, in other words we keep on growing our business activities while at the same time maintaining almost stable our CO2 emissions."
18,Ferrari - Climate Change 2020,9.34,94615,vehicle produced,10131,Market-based,5.86,Decreased,"In the last years, Ferrari managed to decouple its economic growth from its environmental impact, in other words we keep on growing our business activities while at the same time maintaining almost stable our CO2 emissions."
19,BYD - Climate Change 2018,,,,,,,,
20,Groupe PSA - Climate Change 2019,0.00002326,1313956,unit total revenue,56502000000,Location-based,71.9,Increased,"An internal study has been managed in 2016 to build the path of CO2 emission reduction of industrial activities and identify the main parameters which influence energy consumption. This study proposes targets for 2025, 2035 and 2050. To reach these objectives, PSA\xe2\x80\x99 strategy takes into account the following elements, which contribute to reduce influence of some parameters on energy use: - Daily control of energy consumption to identify deviation and implement immediate corrective action - Implementation of processes using less energies, for new processes, but also by improving existing processes - Surface reduction of plants. - Use of an increasing part of renewable energies. With the inclusion of OV activities in 2018, the carbon intensity by revenue significantly increased. However, comparisons with results of previous years and with the plan created in 2016 are not possible. Where CO2 emission profiles of production activities are similar between both companies, the existence of cogeneration plants make a big difference to the amount of emissions, in particular direct emissions, and the improvement actions could not be the same as for production plants. The study related to CO2 emissions produced by industrial activities and a new plan will be created in 2019. This new CO2 industrial vision will be designed by the \xe2\x80\x9cIndustrial CO2 Committee\xe2\x80\x9d which is the new instance launched in 2018 to manage this topic, After validation by the Industrial CO2 Committee, the new vision will be proposed to SBTI."
21,Isuzu Motors Limited - Climate Change 2018,20.2,218109,"Other, please specify (\xe5\xa3\xb2\xe4\xb8\x8a\xe9\xab\x98\xef\xbc\x88\xe5\x84\x84\xe5\x86\x86\xef\xbc\x89)",10814,Market-based,9.1,Decreased,"Total sales increased compared with the previous year due to reduction of the amount of CO2 emissions. While the amount of energy used increased slightly in proportion to sales, CO2 emissions were reduced by about 1500 tons compared to BaU through productivity improvement and energy-saving activities resulting from the improvement of the vehicle painting process and revision of production methods. Due to the significant improvement of the CO2 emission rate from electric power, overall CO2 emissions were reduced."
22,Ford Motor Company - Climate Change 2020,0.0000298,4647652,unit total revenue,155900000000,Location-based,1.41,Decreased,Emissions decreased at a higher rate than revenue. The 2018 intensity figure was 0.0000294 with gross total emissions of 4707631 and gross revenue of 160338000000. This allowed for a decrease of 1.4% using ((0.0000294-0.0000298)/0.0000294)). Energy improvement projects for lighting efficiencies and process optimization at manufacturing locations lead to the total decrease in emissions.
23,Ford Motor Company - Climate Change 2020,0.87,4647652,unit total revenue,5351771,Location-based,10.1,Increased,Additional non-manufacturing locations (global office buildings) added to the gross scope 1 + scope 2 totals in 2019 with a 10% decrease in global production. Additional non-manufacturing locations accounted for an increase of 4.3% in the gross scope 1 and 2 emissions. The 2018 intensity figure was 0.79 with gross total emissions of 4707631 and total production of 5962289. This resulted in a 10.1% increase in emissions per vehicle produced ((0.79-0.87/0.79)). A 10% decrease in production was partially off-set by energy improvement projects for lighting and process optimization at manufacturing locations.
24,PACCAR Inc - Climate Change 2020,0.0000102,285498,unit total revenue,27873600000,Location-based,12,Decreased,"An absolute reduction of CO2 emissions of 2.5% between 2018 and 2019, successful implementation of energy efficiency projects, a shift to cleaner fuels such as natural gas and a revenue increase of 11% contributed to the reduction in revenue intensity between 2018 and 2019. An example of energy efficiency projects implemented in 2019 includes replacement of lighting with LEDs at many of our facilities and upgrading factories with more energy efficient process equipment. Revenue is adjusted for currency exchange changes relative to baseline year 2013. Revenue increased and cumulative energy reduction efforts reduced related greenhouse gas emissions in 2019 from 2018 such that revenue intensity decreased by 12% year over year. In addition, revenue intensity is 38% lower in 2019 compared with base year 2013. PACCAR surpassed our target of 15% reduction in revenue intensity by 2020 by over 250%."
25,PACCAR Inc - Climate Change 2020,1.4,285498,unit of production,198800,Location-based,7,Decreased,"An absolute reduction of greenhouse gas emissions of 2.5% between 2018 and 2019, an increase in new truck deliveries and cumulative energy reduction efforts reduced greenhouse gas emissions intensity in 2019 compared with 2018 such that emissions intensity for new truck deliveries decreased by 7%. In addition, emissions intensity based of new truck deliveries is 30% lower in 2019 compared with base year 2013. Energy efficiency projects, a shift to cleaner fuels such as natural gas, and an increase in truck deliveries contributed to the reduction in production unit based greenhouse gas emissions intensity between 2018 and 2019. An example of energy efficiency projects implemented in 2018 includes replacement of lighting with LEDs at many of our facilities and upgrading factories with more energy efficient process equipment."
26,"Nissan Motor Co., Ltd. - Climate Change 2018",0.25,3306584,"Other, please specify (Total revenue (million JPY))",13315000,Market-based,10.9,Decreased,Net revenue increased 3.7% compared to FY16 with vehicle production output remaining practically unchanged. The decrease can be mainly attributed to emission reduction activities including purchasing lower carbon electricity and energy efficiency improvement activities in global manufacturing/non-manufacturing sites. The reduced number of accounted sites due to a group divestment also had a contribution.
27,"Nissan Motor Co., Ltd. - Climate Change 2018",0.58,3306584,vehicle produced,5672000,Market-based,7.6,Decreased,The decrease can be mainly attributed to emission reduction activities including purchasing lower carbon electricity and energy efficiency improvement activities in global manufacturing/non-manufacturing sites. The reduced number of accounted sites due to a group divestment also had a contribution.
28,Renault - Climate Change 2020,0.00002183,1212351,unit total revenue,55537000000,Market-based,3.02,Increased,"In 2019, revenue fell by about 3.3%, sales by 3.4%, whereas combined scope 1 and scope 2 emissions fell by 0.4%. Many parameters have an influence on the emissions intensity per unit of currency, which, combined, contribute to the change observed. For example: - the &quot;volume effect&quot; on CO2 emissions is not proportional: for a given plant, the change in vehicle output is only partially reflected in the change in CO2 emissions, since part of the energy consumption of a plant (heating, lighting, ...) is not directly proportional to production output; - Groupe Renault operates in many countries, with varied energy mixes. In some cases, Groupe Renault plants have green electricity contracts in place (such as the Tangiers plant in Morocco). Each plant produces only a limited portfolio of vehicles, as low as one model for some plants (such as Dieppe in France), and Groupe Renault has a wide range of vehicle on offer, with a wide range of selling prices. Therefore, there is a complex relation between sales mix, revenue, and distribution of production accross plants (hence, CO2 emissions) which contributes to explain why emissions and revenue are not 100% corelated."
29,"Nissan Motor Co., Ltd. - Climate Change 2019",0.25,3229327,"Other, please specify (Total revenue in million JPY)",12968700,Market-based,1,Decreased,"The intensity figure unit is t-CO2/million JPY. The decrease can be mainly attributed to emission reduction activities including purchasing lower carbon electricity and energy efficiency improvement activities continued at global manufacturing/non-manufacturing sites. FY18 net revenue decreased by 3.2% compared to the previous year, though vehicle production output also reduced. As a result, no substantial change was observed in the figure."
30,"Nissan Motor Co., Ltd. - Climate Change 2019",0.6,3229327,vehicle produced,5362000,Market-based,2,Increased,Emission reduction activities including purchasing lower carbon electricity and energy efficiency improvement activities continued at global manufacturing/non-manufacturing sites. There has been a slight deterioration in the index due to higher CO2 emission factors in specific locations.
31,Mahindra &amp; Mahindra - Climate Change 2020,5.358e-7,240414,unit total revenue,448660000000,Market-based,2.56,Increased,"Mahindra and Mahindra Ltd. comprises of - Auto Division (AD) - Nashik Plant 2 (AD) - Farm Division (FD) - Swaraj Division(SD) - Swaraj Foundry (SD) - Spares Business Unit(SBU) - Mahindra Research Valley(MRV) - Corporate Centre, Worli Mumbai (CC) - Mahindra Two Wheeler Division (MTWD) F2020 Intensity Metric: 0.0000005358 tCO2e/ INR 2.56% Increased w.r.t. F2019 F2020 Numerator: M&amp;M\'s Scope 1+2 emissions (Market based) : 240,414 tCO2e F2020 Denominator: Unit total revenue: INR 448,660,000,000/- F2019 Intensity Metric: 0.0000005225 tCO2e /INR F2019 Numerator: M&amp;M\'s Scope 1+2 emissions (Market based) : 2,80,120 tCO2e F2019 Denominator: Unit total revenue: INR 536,140,000,000/- Rise of 8.43% over previous for year However, not all locations contribute to revenue generation directly, hence metric of Intensity = t CO2e / unit of total revenue is NOT RELEVANT, Hence, we measure the relevant metric as follows: 1) For Automotive division tCO2e /Equivalent Vehicle produced 40.4% of M&amp;M Emissions 2) For Farm +Swaraj Division tCO2e /Equivalent Tractors produced , 32.4% of M&amp;M Emissions"
32,Mahindra &amp; Mahindra - Climate Change 2020,0.198,97087,"Other, please specify (Equivalent Vehicles produced in Automotive division)",490007,Market-based,3.7,Increased,"F19 Automotive Division contributes to 40.4% of M&amp;M Emissions Reason for increase in Scope 1+2 combined emission: But due to Specific GHG Emissions increased by 3.7% per Equivalent Vehicles produced, mainly due to 24% drop in Equivalent Vehicles produced due to market slow down and covid -19 issue in FY20 Q4 leading to abrupt lock-down. Plus increase R&amp;D testing for BS VI compliance w.e.f. 1st April 2020. Calculations: F19 Automotive Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 123,060 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehicles produced =644,212 Nos F19 Intensity = 123,060 tCO2e/ 644,212 Nos = 0.198 tCO2e F20 Automotive Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 97,087 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehicles produced = 490,007 Nos F20 Intensity = 97,087 tCO2e/ 490,007 Nos = 0.198 tCO2e/ Eq. Vehicles Change in F20 against F19= (0.198-0.191)/0.191 = 3.7% i.e. Increase in Specific GHG Emissions by 3.7% per Equivalent Vehicle produced mainly due to 24% drop in Equivalent Vehicles produced due to market slow down, BS VI transition and covid -19 issue in FY20 Q4 leading to abrupt lock-down."
33,Mahindra &amp; Mahindra - Climate Change 2020,0.181,77806,"Other, please specify (Equivalent Tractors produced in Farm Equivalent + Swaraj division)",428822,Market-based,2.6,Increased,"F20 Farm Equivalent + Swaraj Division contributes to 32.4% of M&amp;M Emissions Reason for the Increase in Scope 1+2 combined emission: We have implemented Energy efficiency projects and increased the Renewable Power by setting up 2.1MW windmill &amp; 3 MWp Solar added within plant premises for CAPTIVE use. But due to Specific GHG Emissions increased by 2.6% per Equivalent tractors produced, mainly due to 18% drop in Equivalent Tractors produced due to market slow down and covid -19 issue in FY20 Q4 leading to abrupt lock-down. Plus increase R&amp;D testing for TREM IV compliance w.e.f. 1st Oct 2019. Calculations: F19 Farm Equivalent + Swaraj Division Metric numerator (Gross global combined Scope 1 and 2 emissions) = 90,653 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Vehicles produced = 512739 Nos F19 Intensity = 90,653 tCO2e/ 512739 Nos = 0.177 tCO2e F20 Farm Equivalent + Swaraj Division Metric numerator (Gross global combined Scope 1 and 2 emissions) =77,806 tCO2e Metric denominator: Unit total = Unit of Production = Equivalent Tractors produced = 428,822 Nos F20 Intensity = 77,806 tCO2e/ 428,822 Nos = 0.181 tCO2e/ Equivalent Tractors Change in F20 against F19 = (0.181-0.177)/0.177 = 2.6% i.e. Increase in Specific GHG Emissions by 2.6% per Equivalent tractors produced, mainly due to 18% drop in Equivalent Tractors produced due to market slow down and covid -19 issue in FY20 Q4 leading to abrupt lock-down."
34,Volkswagen AG - Climate Change 2020,0.0000328,8290299,unit total revenue,252632000000,Market-based,14.3,Decreased,"There were slight adjustments or updates of indicators from the previous year. Scope 1 emissions include additional emissions, and the number of vehicles and sales revenues were also slightly adjusted. These measures were necessary in order to make a correct comparison between the balance sheet years 2018 and 2019. The sales revenue increased by 7.1% compared to 2018. In contrast, the total CO2 emissions have been decreased by 8.2% through emission reduction activities and the purchase of more renewable energy. The reduction of CO2 emissions is due to various energy efficiency measures. A large part of the savings is a result of the renewal of older production equipment. In the area of infrastructure, many efficiency measures were implemented with regard to heating and cooling the buildings. The lighting in the buildings was also further improved. An overview of the other measures can be found in the answer to question 4.3."
35,Volkswagen AG - Climate Change 2020,0.766,8290299,vehicle produced,10823378,Market-based,6.5,Decreased,"There were slight adjustments or updates of indicators from the previous year. Scope 1 emissions include additional emissions, and the number of vehicles and sales revenues were also slightly adjusted. These measures were necessary in order to make a correct comparison between the balance sheet years 2018 and 2019. The production volume decreased by 1.8% compared to 2018. In contrast, the total CO2 emissions have been decreased by 8.2% through emission reduction activities and the purchase of more renewable energy. The reduction of CO2 emissions is due to various energy efficiency measures. A large part of the savings is a result of the renewal of older production equipment. In the area of infrastructure, many efficiency measures were implemented with regard to heating and cooling the buildings. The lighting in the buildings was also further improved. An overview of the other measures can be found in the answer to question 4.3."
36,Daimler AG - Climate Change 2020,0.000014559,2515000,unit total revenue,172745000000,Market-based,16.94,Decreased,"We constantly introduce new energy and emission reduction measures (e.g. increasing the share of renewable energy) to increase the efficiency of our operations and decrease GHG emissions. Each year we evaluate the potential for energy reduction and we introduce new projects. In 2019, our revenue increased to \xe2\x82\xac172,745 million (\xe2\x82\xac167,362 million in 2018). Combined Scope 1 and 2 emissions decreased to 2,516,000 metric tonnes (2,934,000 metric tonnes in 2018). The reduction of CO2 emissions as a result of our energy and emission reduction measures combined with an increase in revenue led to a 16,94% decrease of the given intensity figure from 2018 (0.0000175279 metric tonnes CO2/\xe2\x82\xac) to 2019 (0.0000145590 metric tonnes CO2/\xe2\x82\xac)."
37,Daimler AG - Climate Change 2020,0.741331,1181294,unit of production,1593476,Market-based,13.71,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Mercedes-Benz Cars. We were able to reduce our absolute emissions (2018: 1,484,243 t CO2) by increasing the share of renewable energy, therefore the specific emissions decreased in 2019 compared with 2018 even with lower production figures. The intensity figure decreased from 0.859 in 2018 to 0.741 in 2019. We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures. 2018: Metric numerator 1,484,243 t CO2; Metric denominator 1,727,673 cars. (Please note that this figure differs from the one in the Sustainability Report. The following applies to the Sustainability Report: As we consume fuels for non-production purposes (including company vehicles, test stands), we do not consider the fuels for our production-related goals (energy, CO2). For this reason, the specific energy consumption and CO2 emissions (measured per vehicle produced), which constitute the basis for the tracking of our production-related goals, are published without fuel consumption.)"
38,Daimler AG - Climate Change 2020,1.666287734,803244,unit of production,482056,Market-based,2.36,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Daimler Trucks. We managed again to reduce the GHG intensity figure of our production of Daimler Trucks from 1.707 in 2018 to 1.666 in 2019 by reducing the absolute emissions (895,824 t CO2 in 2018 to 803,244 t CO2 in 2019) by increasing the share of renewable energy. Although the unit of production decreased from 524,930 in 2018 to 482,056 in 2019. We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures. 2018: Metric numerator 895,824 t CO2; Metric denominator 524,930. (Please note that this figure differs from the one in the Sustainability Report. The following applies to the Sustainability Report: As we consume fuels for non-production purposes (including company vehicles, test stands), we do not consider the fuels for our production-related goals (energy, CO2). For this reason, the specific energy consumption and CO2 emissions (measured per vehicle produced), which constitute the basis for the tracking of our production-related goals, are published without fuel consumption.)"
39,Daimler AG - Climate Change 2020,0.517179454,190938,unit of production,369191,Market-based,4.6,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Mercedes-Benz Vans. The intensity figure decreased from 0.542 in 2018 to 0.517 in 2019 due to higher production numbers and an increased share of renewable energy. We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures. 2018: Metric numerator 194,336 t CO2; Metric denominator 358,476 vans. (Please note that this figure differs from the one in the Sustainability Report. The following applies to the Sustainability Report: As we consume fuels for non-production purposes (including company vehicles, test stands), we do not consider the fuels for our production-related goals (energy, CO2). For this reason, the specific energy consumption and CO2 emissions (measured per vehicle produced), which constitute the basis for the tracking of our production-related goals, are published without fuel consumption.)"
40,Daimler AG - Climate Change 2020,2.110239638,68070,unit of production,32257,Market-based,4.88,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for the business unit Daimler Buses. We managed to reduce the energy and GHG intensity of our production of Daimler Buses due to an increased share of renewable energy and higher production numbers. We publish these intensity figures within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. If we would publish an overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes could have a bigger influence than real emissions reduction measures. 2018: Metric numerator 69,287 t CO2; Metric denominator 31,233 buses; Intensity figure 2.218. (Please note that this figure differs from the one in the Sustainability Report. The following applies to the Sustainability Report: As we consume fuels for non-production purposes (including company vehicles, test stands), we do not consider the fuels for our production-related goals (energy, CO2). For this reason, the specific energy consumption and CO2 emissions (measured per vehicle produced), which constitute the basis for the tracking of our production-related goals, are published without fuel consumption.)"
41,Daimler AG - Climate Change 2020,0.905758625,2243546,unit of production,2476980,Market-based,9.47,Decreased,"This is the specific CO2 emissions figure (Scope 1 + 2) for Daimler. We were able to reduce our absolute emissions (2018: 2,643,690 t CO2), specific emissions decreased in 2019 compared with 2018 despite having lower production figures. The intensity figure decreased from 1.001 in 2018 to 0.906 in 2019. 2018: Metric numerator 2,643,690 t CO2; Metric denominator 2,642,312 units; Intensity figure 1.001 We publish the intensity figures for each business unit within our yearly Sustainability Report. The figures are calculated separately for each business unit. The products and production depth of our business units are very diverse. Regarding the overall intensity figure for cars, vans, buses and trucks, shifts in the production volumes have a bigger influence than real emissions reduction measures. (Please note that this figure differs from the one in the Sustainability Report. The following applies to the Sustainability Report: As we consume fuels for non-production purposes (including company vehicles, test stands), we do not consider the fuels for our production-related goals (energy, CO2). For this reason, the specific energy consumption and CO2 emissions (measured per vehicle produced), which constitute the basis for the tracking of our production-related goals, are published without fuel consumption.)"
42,Suzuki Motor Corporation - Climate Change 2019,0.3218,1209182,unit total revenue,3757219000000,Market-based,8.7,Decreased,Consolidated sales for the year reported as denominators increased 587.7 billion yen(18.5%) compared to the previous year. Domestic sales (up 7.6%) and sales in India and Europe (up 23.8%) resulted in a decline in emissions unit vale as sales reached record highs. SUZUKI\xe2\x80\x99s net sales and operating income for fiscal 2017 were at an all-time high.
